Feature,Coeficiente
BMI,1.0907467236992383
Diabetes Status,0.8315798187067047
BP_Product,0.8188481352428395
Total Cholesterol (mg/dL),0.7480859729119778
Diastolic BP,-0.5982402059154864
Systolic BP,0.4275386892764506
Estimated LDL (mg/dL),0.3766001964847939
Risk_Factor_Count,0.26359937305874315
Smoking Status,-0.21709346997057366
Weight (kg),0.20979091323970006
Family History of CVD,-0.15311830913373217
Blood Pressure Category,0.14752805834395008
Waist-to-Height Ratio,0.14009304732074082
BMI_x_Age,0.1344727325005049
Age,-0.1069232728455003
HDL (mg/dL),0.10590149590354328
Abdominal Circumference (cm),-0.06576821184769903
Height (m),0.06328835551094776
Smoking_x_Age,0.041785203101652194
Height (cm),-0.038198238888335186
Chol_HDL_Ratio,0.026168199127048153
Diabetes_x_Age,-0.022834994919885377
Fasting Blood Sugar (mg/dL),-0.008896359540037013
Physical Activity Level,0.008821263950148983
Sex,0.0005328525029573329
