Feature,Coeficiente,Coeficiente_Abs
Diabetes Status,1.1259525042142964,1.1259525042142964
BMI,0.746087563291745,0.746087563291745
Blood Pressure Category,0.6145210469191785,0.6145210469191785
Systolic BP,0.3916122914156157,0.3916122914156157
Age,-0.3448782348018311,0.3448782348018311
Total Cholesterol (mg/dL),0.3393507977841814,0.3393507977841814
Abdominal Circumference (cm),-0.30142386166707374,0.30142386166707374
Family History of CVD,-0.28771540149611374,0.28771540149611374
Weight (kg),-0.27357100522501854,0.27357100522501854
Smoking Status,0.263769906520242,0.263769906520242
Physical Activity Level,0.1853097979626087,0.1853097979626087
Sex,-0.14392266829409214,0.14392266829409214
Waist-to-Height Ratio,0.1420713829864101,0.1420713829864101
Height (m),0.11498000646602972,0.11498000646602972
HDL (mg/dL),-0.08291295231691603,0.08291295231691603
Estimated LDL (mg/dL),0.07127365014765115,0.07127365014765115
Height (cm),-0.06755060345427222,0.06755060345427222
Fasting Blood Sugar (mg/dL),0.02686563798675988,0.02686563798675988
Diastolic BP,0.008795818456791884,0.008795818456791884
