Feature,Coeficiente
BMI,0.8917786067609325
Systolic BP,0.6970065349186189
Total Cholesterol (mg/dL),0.6800453657523681
Diabetes Status,0.580392223698258
Estimated LDL (mg/dL),0.40603521033834333
BP_Product,0.3674353674703122
BMI_x_Age,0.31662542024908413
Age,-0.24993427701443988
Weight (kg),0.24348389748051827
Diastolic BP,-0.23946521807423732
Diabetes_x_Age,0.23206211489409023
Risk_Factor_Count,0.21404070108981627
Family History of CVD,-0.11708622305376477
Blood Pressure Category,0.1071423454659181
HDL (mg/dL),0.10676648299725612
Waist-to-Height Ratio,0.09794790605991088
Smoking Status,-0.0886510286042796
Smoking_x_Age,-0.053882471194538505
Height (cm),-0.03496336971782491
Height (m),0.03461151232810352
Chol_HDL_Ratio,0.03174279313465694
Abdominal Circumference (cm),-0.02791902072703842
Fasting Blood Sugar (mg/dL),-0.014959132330906063
Physical Activity Level,0.013514551810915541
Sex,-0.0038114150146706756
